hotel_id,room_number,type,max_guests,amenities
1,101,Studio Apartment,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave"
1,102,Studio Apartment,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave"
1,103,Studio Apartment,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave"
1,104,Studio Apartment,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave"
2,201,Executive Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
2,202,Executive Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
2,203,Executive Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
2,204,Executive Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
3,301,Queen Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer"
3,302,Queen Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer"
3,303,Queen Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer"
3,304,Queen Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer"
4,401,Presidential Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
4,402,Presidential Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
4,403,Presidential Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
4,404,Presidential Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
5,501,Double Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products"
5,502,Double Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products"
5,503,Double Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products"
5,504,Double Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products"
6,601,Beachfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
6,602,Beachfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
6,603,Beachfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
6,604,Beachfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
7,701,King Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View"
7,702,King Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View"
7,703,King Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View"
7,704,King Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, City View"
8,801,Deluxe Room,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace"
8,802,Deluxe Room,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace"
8,803,Deluxe Room,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace"
8,804,Deluxe Room,2,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Mountain View, Fireplace"
9,901,Imperial Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
9,902,Imperial Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
9,903,Imperial Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
9,904,Imperial Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
10,1001,Spa Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services"
10,1002,Spa Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services"
10,1003,Spa Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services"
10,1004,Spa Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Spa Access, Massage Services"
11,1101,Villa Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access"
11,1102,Villa Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access"
11,1103,Villa Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access"
11,1104,Villa Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Private Pool, Garden Access"
12,1201,Premium Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
12,1202,Premium Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
12,1203,Premium Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
12,1204,Premium Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access"
13,1301,Cozy Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace"
13,1302,Cozy Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace"
13,1303,Cozy Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace"
13,1304,Cozy Room,2,"Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Fireplace"
14,1401,Grand Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
14,1402,Grand Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
14,1403,Grand Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
14,1404,Grand Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services"
15,1501,Harmony Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access"
15,1502,Harmony Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access"
15,1503,Harmony Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access"
15,1504,Harmony Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Yoga Studio Access"
16,1601,Oceanfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
16,1602,Oceanfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
16,1603,Oceanfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
16,1604,Oceanfront Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
17,1701,Country Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace"
17,1702,Country Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace"
17,1703,Country Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace"
17,1704,Country Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Garden Access, Fireplace"
18,1801,Skyline Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access"
18,1802,Skyline Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access"
18,1803,Skyline Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access"
18,1804,Skyline Suite,6,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Skyline View, Fitness Center Access"
19,1901,Sunset Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
19,1902,Sunset Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
19,1903,Sunset Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
19,1904,Sunset Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, Beach Access, Pool Access"
20,2001,Loft Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design"
20,2002,Loft Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design"
20,2003,Loft Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design"
20,2004,Loft Suite,4,"Free WiFi, Coffee Maker, MiniFridge, Microwave, City View, Modern Design"
