"hotel_id","room_number","type","max_guests","amenities","price"
"1","101","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave","40341"
"1","102","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave","65209"
"1","103","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave","72783"
"1","104","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Microwave","84251"
"2","101","Deluxe Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","58392"
"2","102","Deluxe Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","62207"
"2","103","Deluxe Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","75768"
"2","104","Deluxe Bedroom","4","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access","109692"
"3","101","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer","84816"
"3","102","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer","90151"
"3","103","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer","95657"
"3","104","Double Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer","97318"
"4","101","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","35374"
"4","102","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","79712"
"4","103","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","83444"
"4","104","Deluxe Bedroom","6","Free WiFi, Coffee Maker, MiniFridge, Microwave, Balcony, Fitness Center Access, Spa Services","99688"
"5","101","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products","36356"
"5","102","Single Bedroom","2","Free WiFi, Coffee Maker, MiniFridge, Hairdryer, Eco-Friendly Products","45075"
