hotelID,roomNumber,bookedFrom,bookedUntil
1,101,2025-03-01,2025-03-05
1,101,2025-03-06,2025-03-10
1,101,2025-03-11,2025-03-15
2,101,2025-03-01,2025-03-04
2,101,2025-03-05,2025-03-09
2,101,2025-03-10,2025-03-14
3,101,2025-03-01,2025-03-03
3,101,2025-03-04,2025-03-08
3,101,2025-03-09,2025-03-13
4,101,2025-03-01,2025-03-06
4,101,2025-03-07,2025-03-11
4,101,2025-03-12,2025-03-16
5,101,2025-03-01,2025-03-02
5,101,2025-03-03,2025-03-07
5,101,2025-03-08,2025-03-12
6,101,2025-03-01,2025-03-04
6,101,2025-03-05,2025-03-09
6,101,2025-03-10,2025-03-14
7,101,2025-03-01,2025-03-05
7,101,2025-03-06,2025-03-10
7,101,2025-03-11,2025-03-15
8,101,2025-03-01,2025-03-03
8,101,2025-03-04,2025-03-08
8,101,2025-03-09,2025-03-13
9,101,2025-03-01,2025-03-06
9,101,2025-03-07,2025-03-11
9,101,2025-03-12,2025-03-16
10,101,2025-03-01,2025-03-02
10,101,2025-03-03,2025-03-07
10,101,2025-03-08,2025-03-12
11,102,2025-03-01,2025-03-05
11,102,2025-03-06,2025-03-10
11,102,2025-03-11,2025-03-15
12,102,2025-03-01,2025-03-04
12,102,2025-03-05,2025-03-09
12,102,2025-03-10,2025-03-14
13,102,2025-03-01,2025-03-03
13,102,2025-03-04,2025-03-08
13,102,2025-03-09,2025-03-13
14,102,2025-03-01,2025-03-06
14,102,2025-03-07,2025-03-11
14,102,2025-03-12,2025-03-16
15,102,2025-03-01,2025-03-02
15,102,2025-03-03,2025-03-07
15,102,2025-03-08,2025-03-12
16,102,2025-03-01,2025-03-05
16,102,2025-03-06,2025-03-10
16,102,2025-03-11,2025-03-15
17,102,2025-03-01,2025-03-04
17,102,2025-03-05,2025-03-09
17,102,2025-03-10,2025-03-14
18,102,2025-03-01,2025-03-03
18,102,2025-03-04,2025-03-08
18,102,2025-03-09,2025-03-13
19,102,2025-03-01,2025-03-06
19,102,2025-03-07,2025-03-11
19,102,2025-03-12,2025-03-16
20,102,2025-03-01,2025-03-02
20,102,2025-03-03,2025-03-07
20,102,2025-03-08,2025-03-12
1,103,2025-03-01,2025-03-05
1,103,2025-03-06,2025-03-10
1,103,2025-03-11,2025-03-15
2,103,2025-03-01,2025-03-04
2,103,2025-03-05,2025-03-09
2,103,2025-03-10,2025-03-14
3,103,2025-03-01,2025-03-03
3,103,2025-03-04,2025-03-08
3,103,2025-03-09,2025-03-13
4,103,2025-03-01,2025-03-06
4,103,2025-03-07,2025-03-11
4,103,2025-03-12,2025-03-16
5,103,2025-03-01,2025-03-02
5,103,2025-03-03,2025-03-07
5,103,2025-03-08,2025-03-12
6,103,2025-03-01,2025-03-05
6,103,2025-03-06,2025-03-10
6,103,2025-03-11,2025-03-15
7,103,2025-03-01,2025-03-04
7,103,2025-03-05,2025-03-09
7,103,2025-03-10,2025-03-14
8,103,2025-03-01,2025-03-03
8,103,2025-03-04,2025-03-08
8,103,2025-03-09,2025-03-13
9,103,2025-03-01,2025-03-06
9,103,2025-03-07,2025-03-11
9,103,2025-03-12,2025-03-16
10,103,2025-03-01,2025-03-02
10,103,2025-03-03,2025-03-07
10,103,2025-03-08,2025-03-12
11,104,2025-03-01,2025-03-05
11,104,2025-03-06,2025-03-10
11,104,2025-03-11,2025-03-15
12,104,2025-03-01,2025-03-04
12,104,2025-03-05,2025-03-09
12,104,2025-03-10,2025-03-14
13,104,2025-03-01,2025-03-03
13,104,2025-03-04,2025-03-08
13,104,2025-03-09,2025-03-13
14,104,2025-03-01,2025-03-06
14,104,2025-03-07,2025-03-11
14,104,2025-03-12,2025-03-16
15,104,2025-03-01,2025-03-02
15,104,2025-03-03,2025-03-07
15,104,2025-03-08,2025-03-12
16,104,2025-03-01,2025-03-05
16,104,2025-03-06,2025-03-10
16,104,2025-03-11,2025-03-15
17,104,2025-03-01,2025-03-04
17,104,2025-03-05,2025-03-09
17,104,2025-03-10,2025-03-14
18,104,2025-03-01,2025-03-03
18,104,2025-03-04,2025-03-08
18,104,2025-03-09,2025-03-13
19,104,2025-03-01,2025-03-06
19,104,2025-03-07,2025-03-11
19,104,2025-03-12,2025-03-16
20,104,2025-03-01,2025-03-02
20,104,2025-03-03,2025-03-07
20,104,2025-03-08,2025-03-12
